StudentID,Last School,Earliest Yr,Last Yr,#Yrs At Zilla,EnteredInGrade,MostRecentGrade,LastYearID,Still Enrolled,ExitedUnexpectedly
73339,A,2005-2006,2007-2008,3,0,2,17,Y,N
73341,A,2005-2006,2007-2008,3,0,2,17,Y,N
73342,A,2005-2006,2007-2008,3,0,2,17,Y,N
73343,A,2005-2006,2005-2006,1,0,0,15,N,Y
73345,A,2005-2006,2007-2008,3,0,2,17,Y,N
73351,A,2005-2006,2005-2006,1,0,0,15,N,Y
73354,A,2005-2006,2007-2008,3,0,2,17,Y,N
73355,A,2005-2006,2007-2008,3,0,2,17,Y,N
73358,A,2005-2006,2006-2007,2,0,1,16,N,Y
73359,A,2005-2006,2006-2007,2,0,1,16,N,Y
73360,A,2005-2006,2007-2008,3,0,2,17,Y,N
73361,A,2005-2006,2005-2006,1,0,0,15,N,Y
73363,A,2005-2006,2007-2008,3,1,3,17,Y,N
73365,A,2005-2006,2005-2006,1,1,1,15,N,Y
73366,A,2005-2006,2007-2008,3,1,3,17,Y,N
73367,A,2005-2006,2006-2007,2,1,1,16,N,Y
73368,A,2005-2006,2006-2007,2,1,2,16,N,Y
73369,A,2005-2006,2006-2007,2,1,2,16,N,Y
73371,A,2005-2006,2007-2008,3,1,3,17,Y,N
73372,A,2005-2006,2007-2008,3,1,3,17,Y,N
73373,A,2005-2006,2007-2008,3,1,3,17,Y,N
73375,A,2005-2006,2007-2008,3,1,3,17,Y,N
73376,A,2005-2006,2007-2008,3,1,3,17,Y,N
73377,A,2005-2006,2007-2008,3,1,3,17,Y,N
73378,A,2005-2006,2007-2008,3,1,3,17,Y,N
73379,A,2005-2006,2007-2008,3,1,3,17,Y,N
73380,A,2005-2006,2007-2008,3,1,3,17,Y,N
73381,A,2005-2006,2005-2006,1,2,2,15,N,Y
73383,A,2005-2006,2007-2008,3,2,4,17,Y,N
73384,A,2005-2006,2007-2008,3,2,4,17,Y,N
73385,A,2005-2006,2005-2006,1,2,2,15,N,Y
73386,A,2005-2006,2007-2008,3,2,4,17,Y,N
73387,A,2005-2006,2007-2008,3,2,4,17,Y,N
73388,A,2005-2006,2007-2008,3,2,4,17,Y,N
73391,A,2005-2006,2007-2008,3,2,4,17,Y,N
73393,A,2005-2006,2007-2008,3,2,4,17,Y,N
73394,A,2005-2006,2007-2008,3,2,4,17,Y,N
73395,A,2005-2006,2007-2008,3,2,4,17,Y,N
